TRAIN_NUMBER,TRAIN_NAME,OWNING_RLY,TRAIN_TYPE,TRAIN_SUB_TYPE,TRAIN_SRC,TRAIN_DSTN,NO_OF_COACHES,RAKE_TYPE
11059,LTT-CPR CHHAPRA EXPRESS,CR,MEX,MEX,LTT,CPR,22,LHB
11060,CPR LTT EXPRESS,CR,MEX,MEX,CPR,LTT,22,LHB
11061,LTT-JYG EXP,CR,MEX,MEX,LTT,JYG,22,LHB
11062,JYG  LTT EXP,CR,MEX,MEX,JYG,LTT,22,LHB
11071,LTT-BUI KAMAYANI EXPRES,CR,MEX,MEX,LTT,BUI,22,LHB
11072,BUI-LTT KAMAYANI EXPRES,CR,MEX,MEX,BUI,LTT,22,LHB
11081,LTT-GKP VIA PCOI EXP,CR,MEX,MEX,LTT,GKP,22,LHB
11082,GKP-LTT VIA PCOI,CR,MEX,MEX,GKP,LTT,22,LHB
11271,VINDHYACHAL EXP,WCR,MEX,MEX,ET,BPL,15,ICF
11272,VINDHYACHAL EXP,WCR,MEX,MEX,BPL,ET,15,ICF
11273,ET-PCOI EXP,WCR,MEX,MEX,ET,PCOI,15,ICF
11274,PCOI-ET EXP,WCR,MEX,MEX,PCOI,ET,15,ICF
11427,PUNE-JSME EXP,CR,MEX,MEX,PUNE,JSME,20,LHB
11428,JSME-PUNE EXP,CR,MEX,MEX,JSME,PUNE,20,LHB
11447,SHAKTIPUNJ EXP,WCR,MEX,MEX,JBP,HWH,21,LHB
11448,SHAKTIPUNJ EXP,WCR,MEX,MEX,HWH,JBP,21,LHB
11465,SMNH-JBP EXP,WCR,MEX,MEX,VRL,JBP,22,LHB
11466,JBP-SMNH EXP,WCR,MEX,MEX,JBP,VRL,22,LHB
11601,BINA-KTE EXP MEMU ,WCR,MEX,MXMU,BINA,KTE,8,MEMU
11602,KTE-BINA EXP MEMU ,WCR,MEX,MXMU,KTE,BINA,8,MEMU
11651,JBP-SGRL INTERCITY EXP,WCR,MEX,MEX,JBP,SGRL,22,LHB
11652,SGRL-JBP INTERCITY EXP,WCR,MEX,MEX,SGRL,JBP,22,LHB
11703,REWA-DADN  EXP,WCR,MEX,MEX,REWA,DADN,22,LHB
11704,INDB-REWA EXP,WCR,MEX,MEX,DADN,REWA,22,LHB
11705,JBP REWA EXPRESS ,WCR,MEX,MEX,JBP,REWA,23,ICF
11706,REWA JBP EXP ,WCR,MEX,MEX,REWA,JBP,23,ICF
11753,NITR-REWA EXPRESS ,WCR,MEX,MEX,NITR,REWA,22,LHB
11754,REWA-NITR EXPRESS ,WCR,MEX,MEX,REWA,NITR,22,LHB
11755,NITR-REWA EXPRESS,WCR,MEX,MEX,NITR,REWA,22,LHB
11756,REWA-NITR  EXPRESS,WCR,MEX,MEX,REWA,NITR,22,LHB
12141,LTT-PPTA EXPRESS,CR,SUF,SUF,LTT,PPTA,23,LHB
